index,month,prcp
0,2001-01-01,101.4
1,2001-02-01,98.19999999999999
2,2001-03-01,201.2
3,2001-04-01,141.2
4,2001-05-01,29.233333333333334
5,2001-06-01,0.6666666666666666
6,2001-07-01,4.533333333333332
7,2001-08-01,25.933333333333334
8,2001-09-01,125.4
9,2001-10-01,115.8
10,2001-11-01,217.26666666666665
11,2001-12-01,213.06666666666666
12,2002-01-01,179.23333333333332
13,2002-02-01,227.06666666666666
14,2002-03-01,100.43333333333332
15,2002-04-01,38.900000000000006
16,2002-05-01,83.8
17,2002-06-01,1.4
18,2002-07-01,41.266666666666666
19,2002-08-01,27.266666666666666
20,2002-09-01,49.7
21,2002-10-01,82.83333333333334
22,2002-11-01,112.83333333333333
23,2002-12-01,132.6396536796537
24,2003-01-01,250.6
25,2003-02-01,164.44965034965034
26,2003-03-01,178.53846153846155
27,2003-04-01,102.6
28,2003-05-01,39.4923076923077
29,2003-06-01,3.5230769230769226
30,2003-07-01,2.430769230769231
31,2003-08-01,14.630769230769232
32,2003-09-01,38.90769230769231
33,2003-10-01,87.8
34,2003-11-01,136.6824175824176
35,2003-12-01,149.4142857142857
36,2004-01-01,215.72857142857143
37,2004-02-01,242.9
38,2004-03-01,133.04285714285714
39,2004-04-01,86.95714285714286
40,2004-05-01,29.2
41,2004-06-01,6.942857142857143
42,2004-07-01,17.242857142857144
43,2004-08-01,5.957142857142857
44,2004-09-01,28.97142857142857
45,2004-10-01,103.34285714285714
46,2004-11-01,114.58571428571429
47,2004-12-01,130.82857142857142
48,2005-01-01,314.7857142857143
49,2005-02-01,215.7857142857143
50,2005-03-01,259.24285714285713
51,2005-04-01,159.4142857142857
52,2005-05-01,147.04285714285714
53,2005-06-01,139.88571428571427
54,2005-07-01,130.42857142857142
55,2005-08-01,134.31428571428572
56,2005-09-01,59.68571428571428
57,2005-10-01,129.4857142857143
58,2005-11-01,300.0285714285714
59,2005-12-01,207.81428571428572
60,2006-01-01,143.4857142857143
61,2006-02-01,153.04285714285714
62,2006-03-01,160.9857142857143
63,2006-04-01,121.08571428571429
64,2006-05-01,107.10000000000001
65,2006-06-01,8.428571428571429
66,2006-07-01,10.523809523809524
67,2006-08-01,21.935833333333335
68,2006-09-01,55.025
69,2006-10-01,161.9233114761056
70,2006-11-01,129.6420118975921
71,2006-12-01,232.371761639162
72,2007-01-01,261.39444444444445
73,2007-02-01,205.07522522522524
74,2007-03-01,102.44324324324324
75,2007-04-01,74.19302987197725
76,2007-05-01,39.18839565371389
77,2007-06-01,1.3506596807304594
78,2007-07-01,19.569576544771472
79,2007-08-01,5.702040816326531
80,2007-09-01,8.273469387755101
81,2007-10-01,94.48975910364146
82,2007-11-01,172.00188679245284
83,2007-12-01,193.39608665269043
84,2008-01-01,270.1906405690504
85,2008-02-01,223.894406779661
86,2008-03-01,187.24306187202538
87,2008-04-01,122.5086956457521
88,2008-05-01,27.020958453311394
89,2008-06-01,5.587427385475465
90,2008-07-01,3.191780821917808
91,2008-08-01,23.157571269900036
92,2008-09-01,31.113837837837835
93,2008-10-01,92.33736842105263
94,2008-11-01,170.56842105263158
95,2008-12-01,199.31315789473683
96,2009-01-01,189.1578947368421
97,2009-02-01,214.17631578947368
98,2009-03-01,175.06842105263158
99,2009-04-01,130.82368421052632
100,2009-05-01,45.51842105263158
101,2009-06-01,32.80263157894737
102,2009-07-01,24.889473684210525
103,2009-08-01,49.35
104,2009-09-01,70.15789473684211
105,2009-10-01,143.97894736842105
106,2009-11-01,149.17105263157896
107,2009-12-01,228.23947368421054
108,2010-01-01,186.66052631578947
109,2010-02-01,135.26315789473685
110,2010-03-01,150.21052631578948
111,2010-04-01,90.53421052631579
112,2010-05-01,34.689473684210526
113,2010-06-01,4.947368421052631
114,2010-07-01,11.192105263157895
115,2010-08-01,2.0979494190020507
116,2010-09-01,44.97402597402598
117,2010-10-01,105.10596070596071
118,2010-11-01,175.91538461538462
119,2010-12-01,167.7
120,2011-01-01,351.4179487179487
121,2011-02-01,220.3923076923077
122,2011-03-01,269.0205128205128
123,2011-04-01,175.29999999999998
124,2011-05-01,99.23589743589743
125,2011-06-01,40.743589743589745
126,2011-07-01,12.938461538461539
127,2011-08-01,15.285538786108406
128,2011-09-01,28.93716049382716
129,2011-10-01,160.66419753086421
130,2011-11-01,153.67407407407407
131,2011-12-01,217.74074074074073
132,2012-01-01,248.3358024691358
133,2012-02-01,161.25185185185185
134,2012-03-01,145.4683529057513
135,2012-04-01,132.01951219512196
136,2012-05-01,86.31951219512196
137,2012-06-01,68.44146341463416
138,2012-07-01,7.675609756097561
139,2012-08-01,1.4853658536585366
140,2012-09-01,56.514634146341464
141,2012-10-01,86.71219512195123
142,2012-11-01,215.3098736409051
143,2012-12-01,151.66755593803788
144,2013-01-01,280.5785714285714
145,2013-02-01,177.21190476190478
146,2013-03-01,313.6424929971989
147,2013-04-01,351.28000000000003
148,2013-05-01,198.03764705882352
149,2013-06-01,69.6981121751026
150,2013-07-01,10.855813953488372
151,2013-08-01,1.016279069767442
152,2013-09-01,50.45348837209303
153,2013-10-01,139.01627906976745
154,2013-11-01,161.70232558139534
155,2013-12-01,218.55116279069767
156,2014-01-01,150.67441860465115
157,2014-02-01,161.75813953488372
158,2014-03-01,210.43953488372094
159,2014-04-01,144.8860465116279
160,2014-05-01,82.48139534883721
161,2014-06-01,20.586046511627906
162,2014-07-01,48.63488372093023
163,2014-08-01,5.532558139534884
164,2014-09-01,73.69302325581396
165,2014-10-01,71.93333333333334
166,2014-11-01,196.90344827586208
