date,hmax,hmin
2001-01-01,91.91666666666667,85.58333333333333
2001-01-02,89.625,85.66666666666667
2001-01-03,82.33333333333333,77.08333333333333
2001-01-04,85.04166666666667,78.75
2001-01-05,78.95833333333333,73.91666666666667
2001-01-06,65.66666666666667,59.458333333333336
2001-01-07,73.625,65.875
2001-01-08,77.70833333333333,71.91666666666667
2001-01-09,74.79166666666667,67.54166666666667
2001-01-10,60.125,53.625
2001-01-11,77.54166666666667,70.66666666666667
2001-01-12,68.375,62.166666666666664
2001-01-13,73.04166666666667,63.541666666666664
2001-01-14,65.375,59.75
2001-01-15,65.375,59.458333333333336
2001-01-16,65.125,59.416666666666664
2001-01-17,68.91666666666667,62.416666666666664
2001-01-18,65.375,59.708333333333336
2001-01-19,60.5,56.75
2001-01-20,50.0,43.0
2001-01-21,50.0,43.0
2001-01-22,56.458333333333336,49.125
2001-01-23,92.0,88.125
2001-01-24,87.83333333333333,82.66666666666667
2001-01-25,85.66666666666667,76.33333333333333
2001-01-26,74.45833333333333,67.79166666666667
2001-01-27,64.375,56.708333333333336
2001-01-28,62.166666666666664,53.291666666666664
2001-01-29,72.79166666666667,65.33333333333333
2001-01-30,73.625,65.625
2001-01-31,73.375,64.625
2001-02-01,80.66666666666667,72.5
2001-02-02,82.375,73.16666666666667
2001-02-03,66.79166666666667,59.875
2001-02-04,59.791666666666664,51.041666666666664
2001-02-05,53.916666666666664,44.375
2001-02-06,69.16666666666667,61.166666666666664
2001-02-07,70.33333333333333,62.0
2001-02-08,81.41666666666667,71.625
2001-02-09,81.58333333333333,74.5
2001-02-10,65.70833333333333,58.708333333333336
2001-02-11,52.625,43.791666666666664
2001-02-12,52.583333333333336,44.708333333333336
2001-02-13,51.791666666666664,42.666666666666664
2001-02-14,81.66666666666667,73.91666666666667
2001-02-15,77.66666666666667,68.83333333333333
2001-02-16,83.625,75.625
2001-02-17,79.83333333333333,71.41666666666667
2001-02-18,71.79166666666667,65.04166666666667
2001-02-19,60.75,52.375
2001-02-20,70.0,60.333333333333336
2001-02-21,76.58333333333333,67.79166666666667
2001-02-22,82.41666666666667,73.79166666666667
2001-02-23,80.45833333333333,72.20833333333333
2001-02-24,73.70833333333333,63.666666666666664
2001-02-25,80.16666666666667,70.91666666666667
2001-02-26,73.125,65.875
2001-02-27,75.91666666666667,68.75
2001-02-28,82.625,75.33333333333333
2001-03-01,81.95833333333333,74.5
2001-03-02,85.25,77.04166666666667
2001-03-03,88.83333333333333,83.75
2001-03-04,85.0,78.0
2001-03-05,90.08333333333333,83.16666666666667
2001-03-06,81.95833333333333,75.70833333333333
2001-03-07,87.04166666666667,81.45833333333333
2001-03-08,78.58333333333333,70.45833333333333
2001-03-09,79.83333333333333,72.41666666666667
2001-03-10,83.20833333333333,75.375
2001-03-11,91.625,86.83333333333333
2001-03-12,92.83333333333333,88.0
2001-03-13,94.29166666666667,91.08333333333333
2001-03-14,87.70833333333333,84.25
2001-03-15,86.08333333333333,77.375
2001-03-16,80.41666666666667,75.25
2001-03-17,67.41666666666667,61.5
2001-03-18,68.20833333333333,60.375
2001-03-19,84.16666666666667,75.91666666666667
2001-03-20,87.625,80.45833333333333
2001-03-21,76.91666666666667,71.0
2001-03-22,68.33333333333333,61.625
2001-03-23,66.375,58.5
2001-03-24,70.45833333333333,61.625
2001-03-25,72.83333333333333,64.54166666666667
2001-03-26,78.70833333333333,70.08333333333333
2001-03-27,78.16666666666667,70.29166666666667
2001-03-28,79.29166666666667,71.66666666666667
2001-03-29,85.33333333333333,78.875
2001-03-30,89.5,82.79166666666667
2001-03-31,81.125,75.45833333333333
2001-04-01,76.29166666666667,70.20833333333333
2001-04-02,76.83333333333333,69.0
2001-04-03,82.58333333333333,74.75
2001-04-04,77.79166666666667,70.33333333333333
2001-04-05,79.16666666666667,73.54166666666667
2001-04-06,70.16666666666667,64.375
2001-04-07,67.25,61.833333333333336
2001-04-08,62.166666666666664,56.25
2001-04-09,56.416666666666664,50.333333333333336
2001-04-10,55.166666666666664,49.208333333333336
2001-04-11,58.5,51.083333333333336
2001-04-12,65.70833333333333,58.125
2001-04-13,71.0,61.708333333333336
2001-04-14,84.0,77.95833333333333
2001-04-15,80.41666666666667,74.41666666666667
2001-04-16,77.20833333333333,71.33333333333333
2001-04-17,73.125,66.70833333333333
2001-04-18,71.25,63.5
2001-04-19,69.16666666666667,61.5
2001-04-20,65.625,56.958333333333336
2001-04-21,82.70833333333333,72.41666666666667
2001-04-22,82.95833333333333,76.625
2001-04-23,73.66666666666667,66.625
2001-04-24,67.45833333333333,61.0
2001-04-25,61.333333333333336,55.625
2001-04-26,63.166666666666664,57.833333333333336
2001-04-27,67.83333333333333,62.625
2001-04-28,74.16666666666667,71.29166666666667
2001-04-29,61.541666666666664,55.333333333333336
2001-04-30,63.125,57.333333333333336
2001-05-01,64.5,59.583333333333336
2001-05-02,69.04166666666667,63.625
2001-05-03,64.45833333333333,59.25
2001-05-04,68.83333333333333,62.125
2001-05-05,75.58333333333333,70.08333333333333
2001-05-06,69.04166666666667,63.208333333333336
2001-05-07,61.291666666666664,55.25
2001-05-08,58.458333333333336,52.791666666666664
2001-05-09,62.875,55.541666666666664
2001-05-10,60.75,54.5
2001-05-11,61.25,54.416666666666664
2001-05-12,60.041666666666664,52.583333333333336
2001-05-13,70.70833333333333,63.916666666666664
2001-05-14,79.54166666666667,75.20833333333333
2001-05-15,72.5,66.08333333333333
2001-05-16,73.875,67.16666666666667
2001-05-17,83.125,78.29166666666667
2001-05-18,80.04166666666667,74.91666666666667
