date,dewp,tmax,tmin,dmax,dmin
2001-01-01,18.787499999999998,21.2625,20.283333333333335,19.25,18.279166666666665
2001-01-02,18.3625,20.9375,20.241666666666667,18.679166666666667,18.016666666666666
2001-01-03,17.791666666666668,22.066666666666666,21.316666666666666,18.1875,17.304166666666667
2001-01-04,17.445833333333333,21.254166666666666,20.2625,17.904166666666665,16.891666666666666
2001-01-05,17.258333333333333,22.579166666666666,21.679166666666664,17.8,16.816666666666666
2001-01-06,14.316666666666668,22.8625,21.650000000000002,14.958333333333334,13.666666666666666
2001-01-07,16.279166666666665,23.116666666666664,21.620833333333334,16.849999999999998,15.674999999999999
2001-01-08,17.683333333333334,23.1375,22.21666666666667,18.05,16.895833333333332
2001-01-09,16.1125,22.945833333333336,21.849999999999998,16.995833333333334,15.704166666666666
2001-01-10,14.091666666666667,23.795833333333334,22.849999999999998,15.012500000000001,13.341666666666667
2001-01-11,16.704166666666666,22.1375,21.170833333333334,17.2625,16.154166666666665
2001-01-12,14.633333333333333,22.729166666666668,21.633333333333336,15.395833333333334,13.912500000000001
2001-01-13,14.433333333333332,21.666666666666668,20.108333333333334,15.245833333333332,13.608333333333334
2001-01-14,14.508333333333333,22.8125,21.849999999999998,15.079166666666666,13.987499999999999
2001-01-15,14.320833333333333,22.645833333333332,21.458333333333332,14.795833333333334,13.783333333333333
2001-01-16,13.770833333333334,22.266666666666666,21.25,14.433333333333332,13.3125
2001-01-17,14.895833333333334,22.429166666666664,21.34166666666667,15.491666666666667,14.316666666666668
2001-01-18,13.924999999999999,22.34583333333333,21.291666666666668,14.341666666666667,13.387500000000001
2001-01-19,13.666666666666666,22.59583333333333,21.78333333333333,13.770833333333334,13.145833333333334
2001-01-20,11.800000000000002,27.3,26.0,14.800000000000002,13.300000000000002
2001-01-21,11.800000000000002,27.3,26.0,14.800000000000002,13.300000000000002
2001-01-22,13.120833333333335,26.329166666666666,24.991666666666664,15.475000000000001,13.950000000000001
2001-01-23,17.9,19.595833333333335,19.4,18.0125,17.6125
2001-01-24,17.90833333333333,20.566666666666666,20.216666666666665,18.05,17.316666666666666
2001-01-25,17.941666666666666,22.275000000000002,20.641666666666666,18.504166666666666,17.2
2001-01-26,16.704166666666666,23.333333333333332,22.21666666666667,17.45,16.145833333333332
2001-01-27,14.833333333333334,24.329166666666666,23.0,15.579166666666666,14.033333333333333
2001-01-28,14.720833333333333,24.641666666666666,23.133333333333336,15.416666666666666,13.829166666666666
2001-01-29,16.691666666666666,23.929166666666664,22.520833333333332,17.270833333333332,16.008333333333333
2001-01-30,16.0125,23.141666666666666,21.858333333333334,16.825,15.395833333333334
2001-01-31,17.058333333333334,23.974999999999998,22.479166666666668,17.695833333333333,16.2375
2001-02-01,17.441666666666666,22.945833333333336,21.291666666666668,18.004166666666666,16.866666666666667
2001-02-02,17.295833333333334,22.3875,20.854166666666668,18.041666666666668,16.595833333333335
2001-02-03,15.512500000000001,24.641666666666666,23.575,16.5625,14.770833333333334
2001-02-04,13.575000000000001,25.433333333333334,24.108333333333334,14.658333333333333,12.516666666666666
2001-02-05,12.950000000000001,25.233333333333334,23.662499999999998,14.104166666666666,11.645833333333334
2001-02-06,16.604166666666668,24.9875,23.52916666666667,17.224999999999998,15.737499999999999
2001-02-07,16.395833333333332,24.425,22.808333333333334,17.045833333333334,15.737499999999999
2001-02-08,16.958333333333332,22.058333333333334,20.416666666666668,17.425,16.0625
2001-02-09,17.291666666666668,22.5625,21.150000000000002,17.925,16.866666666666667
2001-02-10,14.670833333333334,24.129166666666666,22.925,15.475,13.979166666666666
2001-02-11,11.4375,24.433333333333334,22.84166666666667,12.379166666666668,10.491666666666667
2001-02-12,11.158333333333333,24.3875,22.912499999999998,12.25,10.35
2001-02-13,11.7875,25.125,23.53333333333333,12.895833333333334,10.841666666666667
2001-02-14,16.6875,21.483333333333334,20.091666666666665,17.083333333333332,16.075
2001-02-15,15.4625,21.504166666666666,20.1,16.120833333333334,14.754166666666668
2001-02-16,16.900000000000002,21.287499999999998,19.991666666666667,17.404166666666665,16.366666666666667
2001-02-17,16.508333333333333,21.791666666666668,20.6375,17.083333333333332,15.758333333333333
2001-02-18,16.162499999999998,23.491666666666664,22.183333333333334,16.833333333333332,15.700000000000001
2001-02-19,13.3125,24.020833333333332,22.745833333333334,14.166666666666666,12.308333333333332
2001-02-20,15.333333333333334,23.175,21.395833333333332,16.008333333333333,14.516666666666666
2001-02-21,16.408333333333335,22.5125,21.129166666666666,16.9875,15.674999999999999
2001-02-22,16.670833333333334,21.479166666666668,20.154166666666665,17.304166666666667,15.916666666666666
2001-02-23,16.9875,22.308333333333334,20.983333333333334,17.604166666666668,16.283333333333335
2001-02-24,16.045833333333334,23.5,21.675,16.795833333333334,15.270833333333334
2001-02-25,16.245833333333334,21.679166666666664,20.245833333333334,16.979166666666668,15.525
2001-02-26,16.099999999999998,22.8,21.662499999999998,16.670833333333334,15.333333333333334
2001-02-27,16.879166666666666,22.679166666666664,21.679166666666664,17.520833333333332,16.233333333333334
2001-02-28,16.125,20.704166666666666,19.541666666666668,16.6875,15.658333333333333
2001-03-01,16.616666666666667,21.358333333333334,20.029166666666665,17.129166666666666,16.037499999999998
2001-03-02,16.804166666666667,20.995833333333334,19.745833333333334,17.358333333333334,16.212500000000002
2001-03-03,17.545833333333334,20.320833333333333,19.525000000000002,17.900000000000002,17.120833333333334
2001-03-04,17.55,21.558333333333334,20.55,18.091666666666665,17.0625
