index,month,prcp
0,2001-01-01,101.4
1,2001-02-01,98.19999999999999
2,2001-03-01,201.2
3,2001-04-01,141.2
4,2001-05-01,33.3
5,2001-06-01,0.6666666666666666
6,2001-07-01,9.066666666666665
7,2001-08-01,25.933333333333334
8,2001-09-01,126.2
9,2001-10-01,120.63333333333333
10,2001-11-01,248.93333333333334
11,2001-12-01,226.36666666666667
12,2002-01-01,200.56666666666666
13,2002-02-01,266.23333333333335
14,2002-03-01,117.26666666666667
15,2002-04-01,38.900000000000006
16,2002-05-01,83.8
17,2002-06-01,1.2666666666666666
18,2002-07-01,41.6
19,2002-08-01,27.266666666666666
20,2002-09-01,47.833333333333336
21,2002-10-01,68.93333333333334
22,2002-11-01,154.76666666666665
23,2002-12-01,209.28153679653678
24,2003-01-01,344.1272727272727
25,2003-02-01,195.7390442890443
26,2003-03-01,246.16923076923078
27,2003-04-01,140.5076923076923
28,2003-05-01,52.33846153846154
29,2003-06-01,3.5230769230769226
30,2003-07-01,2.276923076923077
31,2003-08-01,14.523076923076923
32,2003-09-01,43.56923076923077
33,2003-10-01,134.64615384615385
34,2003-11-01,186.62307692307692
35,2003-12-01,231.8
36,2004-01-01,323.84285714285716
37,2004-02-01,350.0
38,2004-03-01,194.72857142857143
39,2004-04-01,121.4
40,2004-05-01,39.65714285714286
41,2004-06-01,6.871428571428571
42,2004-07-01,22.12857142857143
43,2004-08-01,5.9714285714285715
44,2004-09-01,33.51428571428571
45,2004-10-01,132.45714285714286
46,2004-11-01,149.31428571428572
47,2004-12-01,164.05714285714285
48,2005-01-01,237.84285714285716
49,2005-02-01,156.94285714285715
50,2005-03-01,145.70000000000002
51,2005-04-01,66.84285714285714
52,2005-05-01,37.785714285714285
53,2005-06-01,24.67142857142857
54,2005-07-01,4.414285714285714
55,2005-08-01,9.214285714285714
56,2005-09-01,70.8
57,2005-10-01,131.65714285714287
58,2005-11-01,180.75714285714287
59,2005-12-01,235.55714285714285
60,2006-01-01,169.71428571428572
61,2006-02-01,184.31428571428572
62,2006-03-01,205.29999999999998
63,2006-04-01,134.17142857142858
64,2006-05-01,73.28571428571429
65,2006-06-01,12.971428571428572
66,2006-07-01,17.907619047619047
67,2006-08-01,25.248333333333335
68,2006-09-01,60.125
69,2006-10-01,163.97592712842712
70,2006-11-01,134.01189293753612
71,2006-12-01,254.58386519025987
72,2007-01-01,272.0777777777778
73,2007-02-01,214.85225225225224
74,2007-03-01,106.13513513513513
75,2007-04-01,78.60099573257469
76,2007-05-01,41.642826072336476
77,2007-06-01,1.6367337684223426
78,2007-07-01,22.483563971379485
79,2007-08-01,5.106122448979592
80,2007-09-01,9.29795918367347
81,2007-10-01,92.24669387755102
82,2007-11-01,175.32046444121917
83,2007-12-01,196.9488469601677
84,2008-01-01,276.37007652012034
85,2008-02-01,239.85508474576272
86,2008-03-01,215.73620130442447
87,2008-04-01,129.64655909055102
88,2008-05-01,28.38915398327163
89,2008-06-01,5.436197967525419
90,2008-07-01,3.287671232876712
91,2008-08-01,21.774379859311367
92,2008-09-01,33.31401801801802
93,2008-10-01,96.0518245614035
94,2008-11-01,177.1578947368421
95,2008-12-01,206.74473684210525
96,2009-01-01,202.4078947368421
97,2009-02-01,184.30789473684212
98,2009-03-01,175.00526315789475
99,2009-04-01,85.61842105263158
100,2009-05-01,48.28947368421053
101,2009-06-01,30.473684210526315
102,2009-07-01,29.660526315789475
103,2009-08-01,57.23421052631579
104,2009-09-01,73.11578947368422
105,2009-10-01,155.68947368421053
106,2009-11-01,167.92368421052632
107,2009-12-01,254.17105263157896
108,2010-01-01,214.67368421052632
109,2010-02-01,172.8
110,2010-03-01,151.1
111,2010-04-01,52.47105263157894
112,2010-05-01,38.699999999999996
113,2010-06-01,7.731578947368421
114,2010-07-01,9.48421052631579
115,2010-08-01,1.9268284347231717
116,2010-09-01,31.124675324675326
117,2010-10-01,116.37232767232767
118,2010-11-01,182.73333333333332
119,2010-12-01,188.47692307692307
120,2011-01-01,255.74358974358975
121,2011-02-01,226.37948717948717
122,2011-03-01,274.6384615384615
123,2011-04-01,115.4076923076923
124,2011-05-01,15.407692307692308
125,2011-06-01,25.04615384615385
126,2011-07-01,16.151282051282053
127,2011-08-01,10.259581304771178
128,2011-09-01,33.938148148148144
129,2011-10-01,171.22962962962964
130,2011-11-01,163.33086419753087
131,2011-12-01,215.5679012345679
132,2012-01-01,264.75308641975306
133,2012-02-01,182.46172839506173
134,2012-03-01,146.30776874435412
135,2012-04-01,117.52439024390245
136,2012-05-01,65.90243902439025
137,2012-06-01,69.26585365853659
138,2012-07-01,6.021951219512196
139,2012-08-01,1.4853658536585366
140,2012-09-01,60.702439024390245
141,2012-10-01,92.77317073170732
142,2012-11-01,223.40393770202763
143,2012-12-01,159.782214572576
144,2013-01-01,284.3928571428571
145,2013-02-01,189.97857142857143
146,2013-03-01,222.90341736694677
147,2013-04-01,133.14823529411765
148,2013-05-01,43.423529411764704
149,2013-06-01,76.08497948016417
150,2013-07-01,12.576744186046511
151,2013-08-01,1.072093023255814
152,2013-09-01,50.955813953488374
153,2013-10-01,139.33023255813953
154,2013-11-01,173.06976744186048
155,2013-12-01,235.14418604651163
156,2014-01-01,175.93488372093023
157,2014-02-01,196.86511627906978
158,2014-03-01,224.05348837209303
159,2014-04-01,119.8093023255814
160,2014-05-01,68.46511627906978
161,2014-06-01,21.57906976744186
162,2014-07-01,55.79302325581396
163,2014-08-01,5.958139534883721
164,2014-09-01,70.67441860465117
165,2014-10-01,79.47586206896551
166,2014-11-01,220.53333333333333
